id,word,parents
.1.00,病原学特点,['none']
.0.0,新型,"['.1.00', '.2.00', '.2.04', '.3.00', '.3.01', '.2.07', '.2.07', '.1.05', '.1.05', '.1.06', '.1.06', '.1.06', '.3.08', '.1.10', '.1.11', '.1.11']"
.0.1,冠状病毒,"['.1.00', '.1.00', '.1.00', '.1.00', '.2.00', '.2.04', '.3.01', '.2.07', '.2.07', '.1.05', '.1.05', '.1.06', '.1.06', '.3.07', '.3.08', '.1.10', '.1.11', '.1.11']"
.0.2,包膜,['.1.00']
.0.3,颗粒,"['.1.00', '.2.15', '.2.15', '.2.15']"
.0.4,呈圆形,['.1.00']
.0.5,椭圆形,['.1.00']
.0.6,常为,['.1.00']
.0.7,多形性,['.1.00']
.0.8,直径,['.1.00']
.0.9,140nm,['.1.00']
.0.10,基因,['.1.00']
.0.11,特征,"['.1.00', '.3.01']"
.0.12,SARSr,"['.1.00', '.1.00']"
.0.13,CoV,"['.1.00', '.1.00', '.1.00', '.1.00']"
.0.14,MERSr,"['.1.00', '.1.00']"
.0.15,区别,['.1.00']
.0.16,研究,"['.1.00', '.1.00']"
.0.17,显示,"['.1.00', '.2.10', '.2.17']"
.0.18,蝙蝠,['.1.00']
.0.19,SARS,['.1.00']
.0.20,bat,['.1.00']
.0.21,SL,['.1.00']
.0.22,CoVZC45,['.1.00']
.0.23,同源性,['.1.00']
.0.24,85%,['.1.00']
.0.25,体外,"['.1.00', '.3.04', '.3.07']"
.0.26,分离,"['.1.00', '.1.00']"
.0.27,培养,"['.1.00', '.1.00']"
.0.28,2019,['.1.00']
.0.29,nCoV,['.1.00']
.0.30,小时,"['.1.00', '.2.10', '.1.06', '.3.04', '.3.04']"
.0.31,即可,['.1.00']
.0.32,呼吸道,"['.1.00', '.2.01', '.2.04', '.2.04', '.3.00', '.2.09', '.1.05', '.1.06', '.2.17', '.2.17']"
.0.33,上皮细胞,['.1.00']
.0.34,发现,"['.1.00', '.1.06']"
.0.35,VeroE6,['.1.00']
.0.36,Huh,['.1.00']
.0.37,细胞系,['.1.00']
.0.38,需约,['.1.00']
.0.39,理化,['.1.00']
.0.40,特性,['.1.00']
.0.41,病毒,"['.1.00', '.1.00', '.1.00', '.1.05', '.1.05']"
.0.42,紫外线,['.1.00']
.0.43,敏感,['.1.00']
.0.44,分钟,['.1.00']
.0.45,乙醚,['.1.00']
.0.46,75%,['.1.00']
.0.47,乙醇,['.1.00']
.0.48,含氯,['.1.00']
.0.49,消毒剂,['.1.00']
.0.50,过氧乙酸,['.1.00']
.0.51,氯仿,['.1.00']
.0.52,脂溶剂,['.1.00']
.0.53,灭活,"['.1.00', '.1.00']"
.0.54,已定,['.1.00']
.1.01,流行病学特点,['none']
.2.00,传染源,['.1.01']
.0.55,传染源,"['.2.00', '.2.00']"
.0.56,感染,"['.2.00', '.2.02', '.1.05', '.1.05', '.1.05', '.2.14', '.3.07', '.3.08', '.3.12', '.2.18', '.1.10', '.1.11', '.1.11']"
.0.57,患者,"['.2.00', '.2.03', '.2.03', '.2.03', '.2.03', '.2.03', '.2.03', '.2.04', '.2.04', '.2.04', '.2.04', '.3.00', '.1.06', '.3.04', '.3.04', '.3.04', '.3.04', '.3.06', '.3.07', '.3.07', '.3.07', '.3.08', '.3.08', '.3.08', '.3.08', '.3.08', '.2.18', '.2.18', '.2.18', '.2.18']"
.0.58,无症状,['.2.00']
.0.59,感染者,['.2.00']
.2.01,传播途径,['.1.01']
.0.60,飞沫,['.2.01']
.0.61,密切接触,"['.2.01', '.1.06', '.2.18']"
.0.62,传播,"['.2.01', '.2.01', '.2.01']"
.0.63,途径,['.2.01']
.0.64,封闭,['.2.01']
.0.65,环境,"['.2.01', '.2.13']"
.0.66,长时间,['.2.01']
.0.67,暴露,['.2.01']
.0.68,高浓度,['.2.01']
.0.69,气溶胶,"['.2.01', '.2.01']"
